Ticker,Name,Exchange,Category Name,Country
VIC.TO,Vicwest Inc,TOR,,Canada
ZMD.V,Zoommed Inc.,VAN,Healthcare Information Services,Canada
WB.TO,Whistler Blackcomb Holdings Inc.,TOR,,Canada
VSN.TO,Veresen Inc.,TOR,Oil & Gas Pipelines,Canada
VPT.V,VentriPoint Diagnostics Ltd.,VAN,Medical Instruments & Supplies,Canada
TV.TO,Trevali Mining Corporation,TOR,Broadcasting - TV,Canada
TSL.TO,Tree Island Steel Ltd.,TOR,,Canada
TPL.TO,Tethys Petroleum Limited,TOR,Independent Oil & Gas,Canada
TPH.TO,Temple Hotels Inc.,TOR,REIT - Hotel/Motel,Canada
TNP.TO,"TransAtlantic Petroleum, Ltd.",TOR,Independent Oil & Gas,Canada
TML.TO,Treasury Metals Inc.,TOR,Industrial Metals & Minerals,Canada
TMD.TO,Titan Medical Inc.,TOR,Medical Appliances & Equipment,Canada
TGM.V,True Gold Mining Inc.,VAN,,Canada
TEI.TO,Toscana Energy Income Corporation,TOR,,Canada
TDG.TO,Trinidad Drilling Ltd.,TOR,Oil & Gas Drilling & Exploration,Canada
TBE.TO,Twin Butte Energy Ltd.,TOR,,Canada
SVT.V,Savant Explorations Ltd.,VAN,,Canada
SPN.V,Snipp Interactive Inc.,VAN,Advertising Agencies,Canada
SPM.TO,Americas Silver Corporation,TOR,,Canada
SPF.V,Silver Pursuit Resources Ltd.,VAN,Residential Construction,Canada
SMA.TO,Smart Technologies Inc.,TOR,,Canada
SAH.V,Sahara Energy Ltd.,VAN,Independent Oil & Gas,Canada
RX.V,BioSyent Inc.,VAN,Drug Manufacturers - Major,Canada
RSI.TO,Rogers Sugar Inc.,TOR,Diversified Machinery,Canada
RNW.TO,TransAlta Renewables Inc.,TOR,Diversified Utilities,Canada
RNK.V,Wow Unlimited Media Inc.,VAN,,Canada
RMP.TO,RMP Energy Inc.,TOR,Independent Oil & Gas,Canada
RMK.V,Red Moon Resources Inc.,VAN,Industrial Metals & Minerals,Canada
PSK.TO,PrairieSky Royalty Ltd.,TOR,Aerospace/Defense - Major Diversified,Canada
PSG.TO,Old PSG Wind-down Ltd.,TOR,,Canada
PRK.TO,Potash Ridge Corporation,TOR,Property Management,Canada
PIF.TO,Polaris Infrastructure Inc.,TOR,,Canada
PGF.TO,Pengrowth Energy Corporation,TOR,Independent Oil & Gas,Canada
PEX.V,Pacific Ridge Exploration Ltd.,VAN,Industrial Metals & Minerals,Canada
OIL.V,LGX Oil + Gas Inc.,VAN,,Canada
OGC.TO,OceanaGold Corporation,TOR,Gold,Canada
NXJ.TO,NexJ Systems Inc.,TOR,Technical & System Software,Canada
NXE.V,NexGen Energy Ltd.,VAN,,Canada
NVX.V,NV Gold Corporation,VAN,Gold,Canada
NPS.TO,Northern Power Systems Corp.,TOR,Diversified Machinery,Canada
NLN.TO,"NeuLion, Inc.",TOR,Broadcasting - TV,Canada
NFI.TO,New Flyer Industries Inc.,TOR,Auto Manufacturers - Major,Canada
NCF.TO,Northcliff Resources Ltd.,TOR,Industrial Metals & Minerals,Canada
MWE.TO,Mawson West Limited,TOR,,Canada
MSV.TO,Minco Silver Corporation,TOR,Silver,Canada
MLR.V,Melior Resources Inc.,VAN,Auto Parts,Canada
MAW.TO,Mawson Resources Limited,TOR,Industrial Metals & Minerals,Canada
KRN.TO,Karnalyte Resources Inc.,TOR,Business Services,Canada
KER.TO,Kerr Mines Inc.,TOR,Gold,Canada
KEL.TO,Kelt Exploration Ltd.,TOR,Independent Oil & Gas,Canada
IZN.V,InZinc Mining Ltd.,VAN,Copper,Canada
IT.TO,The Intertain Group Limited,TOR,,Canada
INE.TO,Innergex Renewable Energy Inc.,TOR,Diversified Utilities,Canada
IFA.V,iFabric Corp.,VAN,,Canada
IAE.TO,Ithaca Energy Inc.,TOR,,Canada
I.TO,IntelliPharmaCeutics International Inc.,TOR,,Canada
HZM.TO,Horizonte Minerals Plc,TOR,Industrial Metals & Minerals,Canada
HNL.TO,Horizon North Logistics Inc.,TOR,Oil & Gas Equipment & Services,Canada
HE.TO,Hanwei Energy Services Corp.,TOR,Oil & Gas Equipment & Services,Canada
GXO.TO,Granite Oil Corp.,TOR,,Canada
GWR.TO,"Global Water Resources, Inc.",TOR,Water Utilities,Canada
GMO.TO,"General Moly, Inc.",TOR,Industrial Metals & Minerals,Canada
FTP.TO,Fortress Paper Ltd.,TOR,Paper & Paper Products,Canada
NK.V,New Klondike Exploration Ltd.,VAN,,Canada
FGX.TO,Faircourt Gold Income Corp.,TOR,,Canada
FER.TO,Century Global Commodities Corporation,TOR,,Canada
ERF.TO,Enerplus Corporation,TOR,Medical Instruments & Supplies,Canada
ERD.TO,Erdene Resource Development Corporation,TOR,Industrial Metals & Minerals,Canada
EQT.V,Altamira Gold Corp.,VAN,,Canada
EOM.TO,Eco Oro Minerals Corp,TOR,Industrial Metals & Minerals,Canada
MMS.TO,Macarthur Minerals Limited,TOR,,Canada
EIL.V,Empire Industries Ltd.,VAN,General Contractors,Canada
EGZ.TO,Energizer Resources Inc.,TOR,,Canada
EFX.TO,Enerflex Ltd.,TOR,Oil & Gas Equipment & Services,Canada
EFH.TO,Echelon Financial Holdings Inc.,TOR,Property & Casualty Insurance,Canada
DXI.TO,DXI Energy Inc.,TOR,,Canada
DRN.TO,Delrand Resources Limited,TOR,,Canada
DRG-UN.TO,Dream Global Real Estate Investment Trust,TOR,,Canada
DNT.TO,Candente Copper Corp.,TOR,Copper,Canada
DNG.TO,Dynacor Gold Mines Inc.,TOR,Gold,Canada
DGI.TO,DATA Communications Management Corp.,TOR,,Canada
CYB.TO,Cymbria Corporation,TOR,,Canada
CXI.TO,"Currency Exchange International, Corp.",TOR,Investment Brokerage - National,Canada
CWX.TO,CanWel Building Materials Group Ltd.,TOR,General Building Materials,Canada
CVL.TO,Cervus Equipment Corporation,TOR,,Canada
CSE.TO,Capstone Infrastructure Corporation,TOR,,Canada
CNE.TO,Canacol Energy Ltd,TOR,Industrial Metals & Minerals,Canada
CHW.TO,Chesswood Group Limited,TOR,Rental & Leasing Services,Canada
CCA.TO,Cogeco Communications Inc.,TOR,CATV Systems,Canada
CAL.TO,Caledonia Mining Corporation Plc,TOR,Gold,Canada
BRY.TO,Bri-Chem Corp.,TOR,Oil & Gas Equipment & Services,Canada
BRM.V,BIOREM Inc.,VAN,Pollution & Treatment Controls,Canada
BR.TO,Big Rock Brewery Inc.,TOR,Beverages - Brewers,Canada
BOY.TO,"Boyuan Construction Group, Inc.",TOR,Residential Construction,Canada
BNP.TO,Bonavista Energy Corporation,TOR,Independent Oil & Gas,Canada
BNK.TO,Bankers Petroleum Ltd.,TOR,,Canada
BLX.TO,Boralex Inc.,TOR,Industrial Metals & Minerals,Canada
BKM.V,Pacific Booker Minerals Inc.,VAN,Industrial Metals & Minerals,Canada
BKI.TO,Black Iron Inc.,TOR,Industrial Metals & Minerals,Canada
BIR.TO,Birchcliff Energy Ltd.,TOR,Gold,Canada
BIN.TO,Progressive Waste Solutions Ltd.,TOR,,Canada
BG.V,Barisan Gold Corporation,VAN,,Canada
BDT.TO,Bird Construction Inc.,TOR,General Contractors,Canada
BAN.TO,Bannerman Resources Limited,TOR,,Canada
ZZZ.TO,Sleep Country Canada Holdings Inc.,TOR,,Canada
ZEN.V,Zenyatta Ventures Ltd,VAN,Industrial Metals & Minerals,Canada
YMI.TO,Yellowhead Mining Inc.,TOR,,Canada
XYL.V,Xylitol Canada Inc.,VAN,Food - Major Diversified,Canada
